idx,issue_time,comp_time,cmd_type,lba,size(KB),latency(us),queue_cnt,cpu_no,host_no,tag,nextlba,continuity
1327,3042.630345,3042.645092,WRITE_10,93064592,1280,14747,6,000,0,29,93067152,1
1328,3042.630359,3042.649061,WRITE_10,93067152,1280,18702,7,000,0,30,93069712,1
1329,3042.638022,3042.649133,READ_10,37299144,4,11111,4,000,0,2,37299152,0
1332,3042.655901,3042.658347,WRITE_10,93069712,1280,2446,1,002,0,11,93072272,0
1334,3042.655907,3042.658607,WRITE_10,93072272,136,2700,3,002,0,13,93072544,1
1333,3042.655905,3042.658617,READ_10,37308856,4,2712,2,002,0,12,37308864,0
1335,3042.663690,3042.663894,READ_10,37299096,4,204,1,001,0,2,37299104,0
1336,3042.667979,3042.668129,READ_10,37298560,4,150,1,004,0,31,37298568,0
1337,3042.672088,3042.672204,READ_10,37309656,4,116,1,002,0,20,37309664,0
1338,3042.676221,3042.676317,READ_10,37308880,4,96,1,002,0,21,37308888,0
1339,3042.680358,3042.680489,READ_10,37309000,4,131,1,004,0,0,37309008,0
1340,3042.683936,3042.686392,WRITE_10,93072544,1280,2456,1,000,0,5,93075104,0
1341,3042.683945,3042.688867,WRITE_10,93075104,1280,4922,2,000,0,6,93077664,1
1342,3042.683951,3042.691300,WRITE_10,93077664,1280,7349,3,000,0,7,93080224,1
1343,3042.683956,3042.693735,WRITE_10,93080224,1280,9779,4,000,0,8,93082784,1
1344,3042.683961,3042.696167,WRITE_10,93082784,1280,12206,5,000,0,9,93085344,1
1345,3042.683974,3042.698599,WRITE_10,93085344,1280,14625,6,000,0,10,93087904,1
1346,3042.684543,3042.698602,READ_10,37299240,4,14059,7,000,0,11,37299248,0
1347,3042.698723,3042.701206,WRITE_10,93087904,1280,2483,1,000,0,14,93090464,0
1348,3042.698749,3042.703659,WRITE_10,93090464,1280,4910,2,000,0,15,93093024,1
1349,3042.698766,3042.706477,WRITE_10,93093024,1280,7711,3,000,0,22,93095584,1
1350,3042.698782,3042.709877,WRITE_10,93095584,1280,11095,4,000,0,23,93098144,1
1351,3042.698798,3042.713627,WRITE_10,93098144,1280,14829,5,000,0,24,93100704,1
1352,3042.698846,3042.717388,WRITE_10,93100704,1280,18542,6,000,0,25,93103264,1
1353,3042.702565,3042.717634,READ_10,37299248,4,15069,6,000,0,26,37299256,0
1355,3042.724104,3042.725793,READ_10,37310016,4,1689,1,002,0,9,37310024,0
1356,3042.724108,3042.725795,WRITE_10,93103264,864,1687,2,002,0,10,93104992,0
1357,3042.730338,3042.730647,READ_10,37298576,4,309,1,004,0,1,37298584,0
1358,3042.734720,3042.734819,READ_10,37299208,4,99,1,006,0,31,37299216,0
1359,3042.738833,3042.738931,READ_10,37299416,4,98,1,006,0,0,37299424,0
1360,3042.742994,3042.743096,READ_10,37299168,4,102,1,004,0,2,37299176,0
1361,3042.746971,3042.747070,READ_10,37298360,4,99,1,004,0,3,37298368,0
1362,3042.751070,3042.751183,READ_10,37309248,4,113,1,004,0,4,37309256,0
1363,3042.752514,3042.754964,WRITE_10,93104992,1280,2450,1,000,0,27,93107552,0
1364,3042.752525,3042.757406,WRITE_10,93107552,1280,4881,2,000,0,28,93110112,1
1365,3042.752532,3042.759879,WRITE_10,93110112,1280,7347,3,000,0,29,93112672,1
1366,3042.752537,3042.762313,WRITE_10,93112672,1280,9776,4,000,0,30,93115232,1
1367,3042.752543,3042.764757,WRITE_10,93115232,1280,12214,5,000,0,0,93117792,1
1368,3042.752557,3042.767178,WRITE_10,93117792,1280,14621,6,000,0,1,93120352,1
1369,3042.755067,3042.767182,READ_10,37299040,4,12115,6,000,0,2,37299048,0
1370,3042.767290,3042.769742,WRITE_10,93120352,1280,2452,1,000,0,3,93122912,0
1371,3042.767315,3042.772188,WRITE_10,93122912,1280,4873,2,000,0,4,93125472,1
1372,3042.767334,3042.774620,WRITE_10,93125472,1280,7286,3,000,0,5,93128032,1
1373,3042.767350,3042.777093,WRITE_10,93128032,1280,9743,4,000,0,6,93130592,1
1374,3042.767366,3042.781074,WRITE_10,93130592,1280,13708,5,000,0,7,93133152,1
1375,3042.767402,3042.784878,WRITE_10,93133152,1280,17476,6,000,0,8,93135712,1
1376,3042.771168,3042.784947,READ_10,37298768,4,13779,6,000,0,9,37298776,0
1378,3042.791038,3042.792638,READ_10,37299072,4,1600,1,002,0,22,37299080,0
1379,3042.791042,3042.792639,WRITE_10,93135712,816,1597,2,002,0,23,93137344,0
1380,3042.797182,3042.797318,READ_10,37309112,4,136,1,004,0,7,37309120,0
1381,3042.801317,3042.801464,READ_10,37298960,4,147,1,006,0,7,37298968,0
1382,3042.805494,3042.805593,READ_10,37298240,4,99,1,006,0,10,37298248,0
1383,3042.809607,3042.809722,READ_10,37309624,4,115,1,006,0,11,37309632,0
1384,3042.813779,3042.813880,READ_10,37299376,4,101,1,004,0,12,37299384,0
1385,3042.817902,3042.818003,READ_10,37308792,4,101,1,004,0,13,37308800,0
1386,3042.819260,3042.821708,WRITE_10,93137344,1280,2448,1,000,0,10,93139904,0
1387,3042.819270,3042.824190,WRITE_10,93139904,1280,4920,2,000,0,11,93142464,1
1388,3042.819275,3042.826636,WRITE_10,93142464,1280,7361,3,000,0,12,93145024,1
1389,3042.819281,3042.829057,WRITE_10,93145024,1280,9776,4,000,0,13,93147584,1
1390,3042.819286,3042.831490,WRITE_10,93147584,1280,12204,5,000,0,14,93150144,1
1391,3042.819301,3042.833923,WRITE_10,93150144,1280,14622,6,000,0,15,93152704,1
1392,3042.821685,3042.833926,READ_10,37309672,4,12241,7,004,0,16,37309680,0
1393,3042.834056,3042.836505,WRITE_10,93152704,1280,2449,1,004,0,17,93155264,0
1394,3042.834064,3042.838944,WRITE_10,93155264,1280,4880,2,004,0,18,93157824,1
1395,3042.834070,3042.841377,WRITE_10,93157824,1280,7307,3,004,0,19,93160384,1
1396,3042.834075,3042.844233,WRITE_10,93160384,1280,10158,4,004,0,20,93162944,1
1397,3042.834080,3042.847540,WRITE_10,93162944,1280,13460,5,004,0,21,93165504,1
1398,3042.834093,3042.851185,WRITE_10,93165504,1280,17092,6,004,0,22,93168064,1
1399,3042.837756,3042.851212,READ_10,37310080,4,13456,6,004,0,23,37310088,0
1402,3042.857642,3042.859207,WRITE_10,93168064,816,1565,2,002,0,9,93169696,0
1401,3042.857638,3042.859217,READ_10,37310272,4,1579,1,002,0,8,37310280,0
1403,3042.865787,3042.865909,READ_10,37309368,4,122,1,002,0,14,37309376,0
1404,3042.869920,3042.870034,READ_10,37298704,4,114,1,002,0,15,37298712,0
1405,3042.873948,3042.874045,READ_10,37308776,4,97,1,002,0,18,37308784,0
1406,3042.878084,3042.878181,READ_10,37299016,4,97,1,002,0,19,37299024,0
1407,3042.882226,3042.882340,READ_10,37309632,4,114,1,002,0,20,37309640,0
1408,3042.886224,3042.888717,WRITE_10,93169696,1280,2493,1,004,0,24,93172256,0
1409,3042.886234,3042.891117,WRITE_10,93172256,1280,4883,2,004,0,25,93174816,1
1410,3042.886240,3042.893597,WRITE_10,93174816,1280,7357,3,004,0,26,93177376,1
1411,3042.886245,3042.896030,WRITE_10,93177376,1280,9785,4,004,0,27,93179936,1
1412,3042.886250,3042.898419,WRITE_10,93179936,1280,12169,5,004,0,28,93182496,1
1413,3042.886267,3042.900895,WRITE_10,93182496,1280,14628,6,004,0,29,93185056,1
1414,3042.886397,3042.900899,READ_10,37309816,4,14502,7,004,0,30,37309824,0
1415,3042.900987,3042.903464,WRITE_10,93185056,1280,2477,1,004,0,0,93187616,0
1416,3042.900996,3042.905917,WRITE_10,93187616,1280,4921,2,004,0,1,93190176,1
1417,3042.901002,3042.908919,WRITE_10,93190176,1280,7917,3,004,0,2,93192736,1
1418,3042.901008,3042.912697,WRITE_10,93192736,1280,11689,4,004,0,3,93195296,1
1419,3042.901013,3042.916500,WRITE_10,93195296,1280,15487,5,004,0,4,93197856,1
1420,3042.901026,3042.920689,WRITE_10,93197856,1280,19663,6,004,0,5,93200416,1
1421,3042.904708,3042.920861,READ_10,37308872,4,16153,6,004,0,6,37308880,0
1422,3042.927039,3042.928689,WRITE_10,248817072,20,1650,1,002,1,31,248817112,0
1425,3042.927940,3042.929505,WRITE_10,93200416,816,1565,3,002,0,2,93202048,0
1424,3042.927937,3042.929515,READ_10,37308968,4,1578,2,002,0,1,37308976,0
1426,3042.928714,3042.929668,SYNCHRONIZE_CACHE,0,0,954,3,002,1,0,0,0
1427,3042.931993,3042.932013,WRITE_10,248817112,4,20,1,002,1,1,248817120,0
1428,3042.932020,3042.932862,SYNCHRONIZE_CACHE,0,0,842,1,002,1,2,0,0
1429,3042.935908,3042.936118,READ_10,37298976,4,210,1,005,0,20,37298984,0
1430,3042.940157,3042.940257,READ_10,37309832,4,100,1,005,0,21,37309840,0
1431,3042.944326,3042.944443,READ_10,37309712,4,117,1,002,0,7,37309720,0
1432,3042.948529,3042.948661,READ_10,37299032,4,132,1,000,0,16,37299040,0
1433,3042.952750,3042.952850,READ_10,37310304,4,100,1,002,0,8,37310312,0
1434,3042.955973,3042.958456,WRITE_10,93202048,1280,2483,1,004,0,7,93204608,0
1435,3042.955985,3042.960895,WRITE_10,93204608,1280,4910,2,004,0,9,93207168,1
1436,3042.955990,3042.963330,WRITE_10,93207168,1280,7340,3,004,0,10,93209728,1
1437,3042.955995,3042.965764,WRITE_10,93209728,1280,9769,4,004,0,11,93212288,1
1438,3042.956000,3042.968195,WRITE_10,93212288,1280,12195,5,004,0,12,93214848,1
1439,3042.956016,3042.970640,WRITE_10,93214848,1280,14624,6,004,0,13,93217408,1
1440,3042.956725,3042.970644,READ_10,37298712,4,13919,7,000,0,17,37298720,0
1441,3042.970696,3042.973143,WRITE_10,93217408,1280,2447,1,004,0,14,93219968,0
1442,3042.970713,3042.975585,WRITE_10,93219968,1280,4872,2,004,0,15,93222528,1
1443,3042.970729,3042.978957,WRITE_10,93222528,1280,8228,3,004,0,18,93225088,1
1444,3042.970749,3042.983131,WRITE_10,93225088,1280,12382,4,004,0,19,93227648,1
1445,3042.970765,3042.986541,WRITE_10,93227648,1280,15776,5,004,0,20,93230208,1
1446,3042.970796,3042.990472,WRITE_10,93230208,1280,19676,6,004,0,21,93232768,1
1447,3042.974622,3042.990562,READ_10,37298880,4,15940,6,004,0,22,37298888,0
1450,3042.997911,3042.999475,WRITE_10,93232768,816,1564,2,002,0,29,93234400,0
1449,3042.997907,3042.999483,READ_10,37299464,4,1576,1,002,0,28,37299472,0
1451,3043.006063,3043.006254,READ_10,37298336,4,191,1,000,0,18,37298344,0
1452,3043.010285,3043.010400,READ_10,37298736,4,115,1,000,0,19,37298744,0
1453,3043.014352,3043.014451,READ_10,37310344,4,99,1,000,0,20,37310352,0
1454,3043.018485,3043.018600,READ_10,37298672,4,115,1,001,0,3,37298680,0
1455,3043.022634,3043.022733,READ_10,37310256,4,99,1,000,0,21,37310264,0
1456,3043.026599,3043.029048,WRITE_10,93234400,1280,2449,1,004,0,23,93236960,0
1457,3043.026610,3043.031538,WRITE_10,93236960,1280,4928,2,004,0,31,93239520,1
1458,3043.026617,3043.033975,WRITE_10,93239520,1280,7358,3,004,0,4,93242080,1
1459,3043.026622,3043.036405,WRITE_10,93242080,1280,9783,4,004,0,5,93244640,1
1460,3043.026627,3043.038843,WRITE_10,93244640,1280,12216,5,004,0,6,93247200,1
1461,3043.026642,3043.041269,WRITE_10,93247200,1280,14627,6,004,0,7,93249760,1
1462,3043.026734,3043.041273,READ_10,37298648,4,14539,7,001,0,8,37298656,0
1463,3043.041393,3043.043846,WRITE_10,93249760,1280,2453,1,004,0,9,93252320,0
1464,3043.041419,3043.046288,WRITE_10,93252320,1280,4869,2,004,0,10,93254880,1
1465,3043.041435,3043.049435,WRITE_10,93254880,1280,8000,3,004,0,11,93257440,1
1466,3043.041451,3043.053564,WRITE_10,93257440,1280,12113,4,004,0,12,93260000,1
1467,3043.041478,3043.057552,WRITE_10,93260000,1280,16074,5,004,0,13,93262560,1
1468,3043.041491,3043.061399,WRITE_10,93262560,1280,19908,6,004,0,14,93265120,1
1469,3043.045148,3043.061531,READ_10,37309888,4,16383,6,004,0,15,37309896,0
1472,3043.068406,3043.070699,WRITE_10,93265120,1200,2293,2,002,0,12,93267520,0
1471,3043.068401,3043.070707,READ_10,37310448,4,2306,1,002,0,11,37310456,0
1473,3043.077239,3043.077389,READ_10,37299224,4,150,1,002,0,19,37299232,0
1474,3043.081420,3043.081536,READ_10,37309408,4,116,1,002,0,20,37309416,0
1475,3043.085565,3043.085665,READ_10,37310336,4,100,1,002,0,21,37310344,0
1476,3043.089750,3043.089895,READ_10,37309424,4,145,1,000,0,22,37309432,0
1477,3043.093952,3043.094081,READ_10,37309008,4,129,1,000,0,23,37309016,0
1478,3043.097997,3043.098140,READ_10,37309512,4,143,1,000,0,26,37309520,0
1479,3043.098137,3043.100615,WRITE_10,93267520,1280,2478,2,004,0,16,93270080,0
1480,3043.098147,3043.103070,WRITE_10,93270080,1280,4923,2,004,0,17,93272640,1
1481,3043.098153,3043.105503,WRITE_10,93272640,1280,7350,3,004,0,18,93275200,1
1482,3043.098158,3043.107936,WRITE_10,93275200,1280,9778,4,004,0,19,93277760,1
1483,3043.098163,3043.110369,WRITE_10,93277760,1280,12206,5,004,0,20,93280320,1
1484,3043.098177,3043.112815,WRITE_10,93280320,1280,14638,6,004,0,21,93282880,1
1485,3043.101836,3043.112818,READ_10,37310328,4,10982,6,000,0,27,37310336,0
1486,3043.112931,3043.115413,WRITE_10,93282880,1280,2482,1,000,0,28,93285440,0
1487,3043.112955,3043.117867,WRITE_10,93285440,1280,4912,2,000,0,29,93288000,1
1488,3043.112972,3043.121988,WRITE_10,93288000,1280,9016,3,000,0,30,93290560,1
1489,3043.112987,3043.125407,WRITE_10,93290560,1280,12420,4,000,0,0,93293120,1
1490,3043.113002,3043.129304,WRITE_10,93293120,1280,16302,5,000,0,1,93295680,1
1491,3043.113041,3043.133336,WRITE_10,93295680,1280,20295,6,000,0,2,93298240,1
1492,3043.116891,3043.133642,READ_10,37310456,4,16751,6,000,0,3,37310464,0
1495,3043.140590,3043.143038,WRITE_10,93298240,1280,2448,2,002,0,1,93300800,0
1494,3043.140586,3043.143045,READ_10,37298936,4,2459,1,002,0,0,37298944,0
1496,3043.140593,3043.144111,WRITE_10,93300800,560,3518,3,002,0,2,93301920,0
1501,3043.147951,3043.148155,READ_10,37299024,4,204,4,002,0,9,37299032,0
1497,3043.147613,3043.149395,WRITE_10,441461176,4,1782,1,003,1,24,441461184,0
1498,3043.147616,3043.149397,WRITE_10,1050624,4,1781,2,003,1,25,1050632,0
1499,3043.147617,3043.149397,WRITE_10,118491392,4,1780,3,003,1,26,118491400,0
1502,3043.148226,3043.150521,WRITE_10,138085208,596,2295,4,003,1,27,138086400,0
1503,3043.148233,3043.151843,WRITE_10,138102784,680,3610,5,003,1,28,138104144,0
1506,3043.152124,3043.152289,READ_10,37310040,4,165,3,006,0,10,37310048,0
1504,3043.148248,3043.152292,WRITE_10,138104144,252,4044,6,003,1,29,138104648,0
1505,3043.148257,3043.152300,WRITE_10,11037528,4,4043,7,003,1,30,11037536,0
1507,3043.156361,3043.156492,READ_10,37298232,4,131,1,006,0,11,37298240,0
1508,3043.160564,3043.160650,READ_10,37298216,4,86,1,004,0,22,37298224,0
1509,3043.164642,3043.164786,READ_10,37298616,4,144,1,004,0,23,37298624,0
1510,3043.168873,3043.169006,READ_10,37299264,4,133,1,004,0,31,37299272,0
1511,3043.173081,3043.173211,READ_10,37309872,4,130,1,006,0,12,37309880,0
1512,3043.177129,3043.177259,READ_10,37310104,4,130,1,004,0,0,37310112,0
1513,3043.181261,3043.181391,READ_10,37310072,4,130,1,004,0,1,37310080,0
1514,3043.185396,3043.185540,READ_10,37298600,4,144,1,004,0,2,37298608,0
1515,3043.189556,3043.189701,READ_10,37298528,4,145,1,004,0,3,37298536,0
1516,3043.193780,3043.193928,READ_10,37298720,4,148,1,005,0,22,37298728,0
1517,3043.195876,3043.198369,WRITE_10,93301920,1280,2493,1,000,0,4,93304480,0
1518,3043.195887,3043.200808,WRITE_10,93304480,1280,4921,2,000,0,5,93307040,1
1519,3043.195893,3043.203241,WRITE_10,93307040,1280,7348,3,000,0,6,93309600,1
1520,3043.195899,3043.205675,WRITE_10,93309600,1280,9776,4,000,0,7,93312160,1
1521,3043.195904,3043.208108,WRITE_10,93312160,1280,12204,5,000,0,13,93314720,1
1522,3043.195920,3043.210504,WRITE_10,93314720,1280,14584,6,000,0,14,93317280,1
1523,3043.197725,3043.210519,READ_10,37298992,4,12794,7,000,0,15,37299000,0
1525,3043.214483,3043.216977,WRITE_10,93317280,1280,2494,1,000,0,16,93319840,0
1526,3043.217035,3043.219533,WRITE_10,93319840,1280,2498,1,002,0,27,93322400,1
1527,3043.217043,3043.221965,WRITE_10,93322400,1280,4922,2,002,0,28,93324960,1
1528,3043.217048,3043.224407,WRITE_10,93324960,1280,7359,3,002,0,29,93327520,1
1529,3043.217058,3043.226794,WRITE_10,93327520,1280,9736,4,002,0,30,93330080,1
1530,3043.217063,3043.230670,WRITE_10,93330080,1280,13607,5,002,0,0,93332640,1
1531,3043.217068,3043.230807,READ_10,37299272,4,13739,6,002,0,1,37299280,0
1533,3043.237195,3043.239803,WRITE_10,93332640,1280,2608,1,002,0,10,93335200,0
1534,3043.237205,3043.242260,WRITE_10,93335200,1280,5055,2,002,0,11,93337760,1
1535,3043.237211,3043.244679,WRITE_10,93337760,1280,7468,3,002,0,12,93340320,1
1536,3043.237216,3043.247110,WRITE_10,93340320,1280,9894,4,002,0,13,93342880,1
1537,3043.237221,3043.249625,WRITE_10,93342880,1280,12404,5,002,0,14,93345440,1
1538,3043.237226,3043.253631,WRITE_10,93345440,1280,16405,6,002,0,15,93348000,1
1539,3043.237231,3043.253711,READ_10,37308808,4,16480,7,002,0,19,37308816,0
1540,3043.253743,3043.257385,WRITE_10,93348000,1280,3642,1,000,0,20,93350560,0
1541,3043.253769,3043.260944,WRITE_10,93350560,1280,7175,2,000,0,21,93353120,1
1542,3043.253787,3043.264998,WRITE_10,93353120,1280,11211,3,000,0,22,93355680,1
1543,3043.253803,3043.268625,WRITE_10,93355680,1280,14822,4,000,0,23,93358240,1
1544,3043.253819,3043.272640,WRITE_10,93358240,1280,18821,5,000,0,31,93360800,1
1545,3043.253857,3043.276680,WRITE_10,93360800,1280,22823,6,000,0,0,93363360,1
1546,3043.257616,3043.276955,READ_10,37309344,4,19339,6,000,0,1,37309352,0
1547,3043.281059,3043.281363,READ_10,37298696,4,304,1,001,0,9,37298704,0
1548,3043.285307,3043.285447,READ_10,37310176,4,140,1,002,0,20,37310184,0
1549,3043.289468,3043.289614,READ_10,37309448,4,146,1,002,0,21,37309456,0
1550,3043.293634,3043.293736,READ_10,37309744,4,102,1,002,0,22,37309752,0
1552,3043.295470,3043.296861,WRITE_10,93363360,724,1391,1,002,0,5,93364808,0
1554,3043.302048,3043.302146,READ_10,37310360,4,98,1,002,0,9,37310368,0
1555,3043.306266,3043.306365,READ_10,37309088,4,99,1,006,0,0,37309096,0
1556,3043.310396,3043.310497,READ_10,37308936,4,101,1,006,0,1,37308944,0
1557,3043.314388,3043.314487,READ_10,37309896,4,99,1,006,0,2,37309904,0
1558,3043.318599,3043.318700,READ_10,37310112,4,101,1,004,0,10,37310120,0
1559,3043.322728,3043.322828,READ_10,37310240,4,100,1,004,0,11,37310248,0
1560,3043.326832,3043.326933,READ_10,37298256,4,101,1,004,0,12,37298264,0
1561,3043.330942,3043.331058,READ_10,37298640,4,116,1,004,0,13,37298648,0
1562,3043.334819,3043.337300,WRITE_10,93364808,1280,2481,1,000,0,3,93367368,0
1563,3043.334831,3043.339753,WRITE_10,93367368,1280,4922,2,000,0,4,93369928,1
1564,3043.334838,3043.342186,WRITE_10,93369928,1280,7348,3,000,0,5,93372488,1
1565,3043.334844,3043.344629,WRITE_10,93372488,1280,9785,4,000,0,6,93375048,1
1566,3043.334849,3043.347016,WRITE_10,93375048,1280,12167,5,000,0,7,93377608,1
1567,3043.334865,3043.349484,WRITE_10,93377608,1280,14619,6,000,0,14,93380168,1
1568,3043.335082,3043.349487,READ_10,37309128,4,14405,7,004,0,15,37309136,0
1569,3043.349575,3043.352023,WRITE_10,93380168,1280,2448,1,000,0,15,93382728,0
1570,3043.349584,3043.354470,WRITE_10,93382728,1280,4886,2,000,0,16,93385288,1
1571,3043.349590,3043.357666,WRITE_10,93385288,1280,8076,3,000,0,17,93387848,1
1572,3043.349595,3043.360812,WRITE_10,93387848,1280,11217,4,000,0,18,93390408,1
1573,3043.349600,3043.364780,WRITE_10,93390408,1280,15180,5,000,0,19,93392968,1
1574,3043.349614,3043.369085,WRITE_10,93392968,1280,19471,6,000,0,20,93395528,1
1575,3043.353307,3043.369182,READ_10,37309320,4,15875,6,000,0,21,37309328,0
1577,3043.375450,3043.377935,READ_10,37309184,4,2485,1,002,0,19,37309192,0
1578,3043.375460,3043.377936,WRITE_10,93395528,1280,2476,2,002,0,20,93398088,0
1579,3043.375466,3043.380362,WRITE_10,93398088,1280,4896,3,002,0,21,93400648,1
1580,3043.375472,3043.382794,WRITE_10,93400648,1280,7322,4,002,0,22,93403208,1
1581,3043.375477,3043.385226,WRITE_10,93403208,1280,9749,5,002,0,23,93405768,1
1582,3043.375483,3043.388075,WRITE_10,93405768,1280,12592,6,002,0,24,93408328,1
1583,3043.375489,3043.392102,WRITE_10,93408328,1280,16613,7,002,0,25,93410888,1
1585,3043.398183,3043.400741,READ_10,37310192,4,2558,1,002,0,5,37310200,0
1586,3043.398187,3043.400745,WRITE_10,93410888,1280,2558,2,002,0,6,93413448,0
1587,3043.398189,3043.403137,WRITE_10,93413448,1280,4948,3,002,0,7,93416008,1
1588,3043.398191,3043.405572,WRITE_10,93416008,1280,7381,4,002,0,9,93418568,1
1589,3043.398193,3043.408003,WRITE_10,93418568,1280,9810,5,002,0,10,93421128,1
1590,3043.398195,3043.410766,WRITE_10,93421128,1280,12571,6,002,0,11,93423688,1
1591,3043.398197,3043.414547,WRITE_10,93423688,1280,16350,7,002,0,12,93426248,1
1592,3043.404574,3043.418173,READ_10,37309648,4,13599,5,000,0,23,37309656,0
1593,3043.414626,3043.418174,WRITE_10,93426248,1280,3548,2,000,0,31,93428808,0
1594,3043.422108,3043.422336,READ_10,37310032,4,228,1,001,0,13,37310040,0
1595,3043.426332,3043.426455,READ_10,37298176,4,123,1,001,0,14,37298184,0
1596,3043.430489,3043.430695,READ_10,37308888,4,206,1,004,0,16,37308896,0
1597,3043.434708,3043.434823,READ_10,37298512,4,115,1,004,0,17,37298520,0
1598,3043.438920,3043.439035,READ_10,37309288,4,115,1,002,0,13,37309296,0
1599,3043.443139,3043.443241,READ_10,37310416,4,102,1,004,0,18,37310424,0
1600,3043.447216,3043.447362,READ_10,37309584,4,146,1,006,0,9,37309592,0
1602,3043.451430,3043.451627,WRITE_10,93428808,96,197,1,002,0,27,93429000,0
1604,3043.456814,3043.456927,READ_10,37298752,4,113,1,002,0,2,37298760,0
1605,3043.460984,3043.461082,READ_10,37298384,4,98,1,006,0,10,37298392,0
1606,3043.465073,3043.465174,READ_10,37299432,4,101,1,006,0,11,37299440,0
1607,3043.469156,3043.469253,READ_10,37309784,4,97,1,006,0,12,37309792,0
1608,3043.471412,3043.473865,WRITE_10,93429000,1280,2453,1,000,0,0,93431560,0
1609,3043.471421,3043.476302,WRITE_10,93431560,1280,4881,2,000,0,1,93434120,1
1610,3043.471427,3043.478778,WRITE_10,93434120,1280,7351,3,000,0,2,93436680,1
1611,3043.471432,3043.481209,WRITE_10,93436680,1280,9777,4,000,0,3,93439240,1
1612,3043.471437,3043.483642,WRITE_10,93439240,1280,12205,5,000,0,4,93441800,1
1613,3043.471452,3043.486075,WRITE_10,93441800,1280,14623,6,000,0,5,93444360,1
1614,3043.473025,3043.486078,READ_10,37308896,4,13053,7,000,0,6,37308904,0
1615,3043.486195,3043.488676,WRITE_10,93444360,1280,2481,1,000,0,7,93446920,0
1616,3043.486249,3043.491117,WRITE_10,93446920,1280,4868,2,000,0,8,93449480,1
1617,3043.486266,3043.493549,WRITE_10,93449480,1280,7283,3,000,0,9,93452040,1
1618,3043.486282,3043.496532,WRITE_10,93452040,1280,10250,4,000,0,13,93454600,1
1619,3043.486298,3043.500262,WRITE_10,93454600,1280,13964,5,000,0,14,93457160,1
1620,3043.486337,3043.504232,WRITE_10,93457160,1280,17895,6,000,0,15,93459720,1
1621,3043.490089,3043.504324,READ_10,37309144,4,14235,6,000,0,16,37309152,0
1622,3043.504342,3043.507914,WRITE_10,93459720,1280,3572,1,000,0,17,93462280,0
1623,3043.504363,3043.511251,WRITE_10,93462280,1280,6888,2,000,0,18,93464840,1
1624,3043.504379,3043.515090,WRITE_10,93464840,1280,10711,3,000,0,19,93467400,1
1625,3043.504395,3043.519117,WRITE_10,93467400,1280,14722,4,000,0,20,93469960,1
1626,3043.504411,3043.522513,WRITE_10,93469960,1280,18102,5,000,0,21,93472520,1
1627,3043.504451,3043.526431,WRITE_10,93472520,1280,21980,6,000,0,22,93475080,1
1628,3043.508174,3043.526534,READ_10,37299448,4,18360,6,000,0,23,37299456,0
1630,3043.533347,3043.535838,READ_10,37309640,4,2491,1,002,0,18,37309648,0
1631,3043.533350,3043.535842,WRITE_10,93475080,1280,2492,2,002,0,19,93477640,0
1632,3043.533353,3043.538242,WRITE_10,93477640,1280,4889,3,002,0,20,93480200,1
1633,3043.533355,3043.540678,WRITE_10,93480200,1280,7323,4,002,0,21,93482760,1
1634,3043.533357,3043.543108,WRITE_10,93482760,1280,9751,5,002,0,22,93485320,1
1635,3043.533359,3043.545581,WRITE_10,93485320,1280,12222,6,002,0,23,93487880,1
1636,3043.533361,3043.548400,WRITE_10,93487880,1280,15039,7,002,0,25,93490440,1
1638,3043.554032,3043.554195,READ_10,37309472,4,163,1,002,0,5,37309480,0
1639,3043.558109,3043.558309,READ_10,37310208,4,200,1,004,0,19,37310216,0
1640,3043.562346,3043.562462,READ_10,37309592,4,116,1,005,0,23,37309600,0
1641,3043.566479,3043.566592,READ_10,37309528,4,113,1,005,0,31,37309536,0
1642,3043.570650,3043.570749,READ_10,37309856,4,99,1,006,0,13,37309864,0
1643,3043.574758,3043.574857,READ_10,37299304,4,99,1,006,0,14,37299312,0
1644,3043.581969,3043.584144,WRITE_10,93490440,1120,2175,1,000,0,25,93492680,0
1645,3043.581980,3043.586555,WRITE_10,93492680,1280,4575,2,000,0,26,93495240,1
1646,3043.581985,3043.588992,WRITE_10,93495240,1280,7007,3,000,0,27,93497800,1
1647,3043.581990,3043.591477,WRITE_10,93497800,1280,9487,4,000,0,28,93500360,1
1648,3043.581995,3043.593896,WRITE_10,93500360,1280,11901,5,000,0,29,93502920,1
1649,3043.582011,3043.596286,WRITE_10,93502920,1280,14275,6,000,0,30,93505480,1
1651,3043.596342,3043.598794,WRITE_10,93505480,1280,2452,2,000,0,6,93508040,1
1650,3043.596196,3043.598804,READ_10,37309104,4,2608,2,006,0,15,37309112,0
1652,3043.596353,3043.601239,WRITE_10,93508040,1280,4886,3,000,0,7,93510600,0
1653,3043.596359,3043.603676,WRITE_10,93510600,1280,7317,4,000,0,8,93513160,1
1654,3043.596364,3043.606288,WRITE_10,93513160,1280,9924,5,000,0,9,93515720,1
1655,3043.596370,3043.610025,WRITE_10,93515720,1280,13655,6,000,0,10,93518280,1
1656,3043.596383,3043.613727,WRITE_10,93518280,1280,17344,7,000,0,11,93520840,1
1657,3043.602592,3043.613849,READ_10,37299160,4,11257,5,006,0,16,37299168,0
1660,3043.620045,3043.622490,WRITE_10,93520840,1280,2445,2,002,0,22,93523400,0
