sec,queue_cnt,count
1058,16,24
1058,17,28
1058,18,26
1058,19,24
1058,20,30
1058,21,35
1058,22,53
1058,23,62
1058,24,98
1058,25,134
1058,26,212
1058,27,436
1058,28,734
1058,29,1131
1058,30,1842
1058,31,3210
1058,32,7031
1059,1,0
1059,2,0
1059,3,0
1059,4,0
1059,5,2
1059,6,3
1059,7,2
1059,8,3
1059,9,3
1059,10,3
1059,11,7
1059,12,12
1059,13,16
1059,14,26
1059,15,28
1059,16,40
1059,17,44
1059,18,61
1059,19,53
1059,20,67
1059,21,74
1059,22,81
1059,23,104
1059,24,140
1059,25,167
1059,26,245
1059,27,368
1059,28,619
1059,29,961
1059,30,1678
1059,31,3256
1059,32,7143
1060,1,2
1060,2,2
1060,3,2
1060,4,2
1060,5,3
1060,6,4
1060,7,4
1060,8,5
1060,9,11
1060,10,11
1060,11,11
1060,12,19
1060,13,26
1060,14,32
1060,15,44
1060,16,42
1060,17,41
1060,18,46
1060,19,43
1060,20,51
1060,21,73
1060,22,86
1060,23,99
1060,24,124
1060,25,157
1060,26,247
1060,27,409
1060,28,755
1060,29,1342
1060,30,2380
1060,31,4818
1060,32,10955
1061,1,4337
1061,2,8
1061,3,11
1061,4,17
1061,5,17
1061,6,14
1061,7,12
1061,8,13
1061,9,14
1061,10,10
1061,11,11
1061,12,16
1061,13,16
1061,14,15
1061,15,20
1061,16,25
1061,17,33
1061,18,37
1061,19,42
1061,20,50
1061,21,50
1061,22,58
1061,23,76
1061,24,111
1061,25,144
1061,26,204
1061,27,345
1061,28,547
1061,29,1027
1061,30,1851
1061,31,3569
1061,32,8246
1062,1,10105
1062,2,32
1062,3,0
1062,4,0
1062,5,0
1062,6,0
1062,7,0
1062,8,0
1062,9,0
1062,10,0
1062,11,0
1062,12,0
1062,13,0
1062,14,0
1062,15,0
1062,16,0
1062,17,0
1062,18,0
1062,19,0
1062,20,0
1062,21,0
1062,22,0
1062,23,0
1062,24,0
1062,25,0
1062,26,0
1062,27,0
1062,28,0
1062,29,0
1062,30,0
1062,31,0
1062,32,0
1063,1,9705
1063,2,0
1063,3,0
1063,4,0
1063,5,0
1063,6,0
1063,7,0
1063,8,0
1063,9,0
1063,10,0
1063,11,0
1063,12,0
1063,13,0
1063,14,0
1063,15,0
1063,16,0
1063,17,0
1063,18,0
1063,19,0
1063,20,0
1063,21,0
1063,22,0
1063,23,0
1063,24,0
1063,25,0
1063,26,0
1063,27,0
1063,28,0
1063,29,0
1063,30,0
1063,31,0
1063,32,0
1064,1,8702
1064,2,0
1064,3,0
1064,4,0
1064,5,0
1064,6,0
1064,7,0
1064,8,0
1064,9,0
1064,10,0
1064,11,0
1064,12,0
1064,13,0
1064,14,0
1064,15,0
1064,16,0
1064,17,0
1064,18,0
1064,19,0
1064,20,0
1064,21,0
1064,22,0
1064,23,0
1064,24,0
1064,25,0
1064,26,0
1064,27,0
1064,28,0
1064,29,0
1064,30,0
1064,31,0
1064,32,0
1065,1,9231
1065,2,29
1065,3,0
1065,4,0
1065,5,0
1065,6,0
1065,7,0
1065,8,0
1065,9,0
1065,10,0
1065,11,0
1065,12,0
1065,13,0
1065,14,0
1065,15,0
1065,16,0
1065,17,0
1065,18,0
1065,19,0
1065,20,0
1065,21,0
1065,22,0
1065,23,0
1065,24,0
1065,25,0
1065,26,0
1065,27,0
1065,28,0
1065,29,0
1065,30,0
1065,31,0
1065,32,0
1066,1,9258
1066,2,0
1066,3,0
1066,4,0
1066,5,0
1066,6,0
1066,7,0
1066,8,0
1066,9,0
1066,10,0
1066,11,0
1066,12,0
1066,13,0
1066,14,0
1066,15,0
1066,16,0
1066,17,0
1066,18,0
1066,19,0
1066,20,0
1066,21,0
1066,22,0
1066,23,0
1066,24,0
1066,25,0
1066,26,0
1066,27,0
1066,28,0
1066,29,0
1066,30,0
1066,31,0
1066,32,0
1067,1,783
1067,2,57
1067,3,59
1067,4,64
1067,5,69
1067,6,66
1067,7,73
1067,8,80
1067,9,88
1067,10,87
1067,11,93
1067,12,107
1067,13,120
1067,14,120
1067,15,120
1067,16,130
1067,17,132
1067,18,129
1067,19,139
1067,20,138
1067,21,151
1067,22,166
1067,23,190
1067,24,211
1067,25,256
1067,26,357
1067,27,508
1067,28,812
1067,29,1416
1067,30,2400
1067,31,4582
1067,32,13433
1068,1,52
1068,2,14
1068,3,16
1068,4,16
1068,5,16
1068,6,16
1068,7,18
1068,8,17
1068,9,17
1068,10,20
1068,11,23
1068,12,24
1068,13,32
1068,14,40
1068,15,49
1068,16,53
1068,17,65
1068,18,73
1068,19,64
1068,20,79
1068,21,89
1068,22,117
1068,23,136
1068,24,173
1068,25,224
1068,26,346
1068,27,536
1068,28,863
1068,29,1531
1068,30,2586
1068,31,4722
1068,32,9889
