time,lba,count
1184,39320670,31079
1184,41942048,0
1184,44563426,0
1184,47184804,0
1184,49806182,0
1184,52427560,0
1185,2621378,0
1185,5242756,761
1185,7864134,0
1185,10485512,0
1185,13106890,0
1185,15728268,0
1185,18349646,0
1185,20971024,0
1185,23592402,0
1185,26213780,0
1185,28835158,0
1185,31456536,0
1185,34077914,0
1185,36699292,51822
1185,39320670,31221
1185,41942048,0
1185,44563426,0
1185,47184804,0
1185,49806182,0
1185,52427560,0
1186,2621378,0
1186,5242756,720
1186,7864134,0
1186,10485512,0
1186,13106890,0
1186,15728268,0
1186,18349646,0
1186,20971024,0
1186,23592402,0
1186,26213780,0
1186,28835158,0
1186,31456536,0
1186,34077914,0
1186,36699292,51336
1186,39320670,30985
1186,41942048,0
1186,44563426,0
1186,47184804,0
1186,49806182,0
1186,52427560,0
1187,2621378,0
1187,5242756,3662
1187,7864134,0
1187,10485512,0
1187,13106890,0
1187,15728268,0
1187,18349646,0
1187,20971024,0
1187,23592402,0
1187,26213780,0
1187,28835158,0
1187,31456536,0
1187,34077914,0
1187,36699292,40898
1187,39320670,24643
1187,41942048,0
1187,44563426,0
1187,47184804,0
1187,49806182,0
1187,52427560,0
1188,2621378,0
1188,5242756,1204
1188,7864134,0
1188,10485512,0
1188,13106890,0
1188,15728268,0
1188,18349646,0
1188,20971024,0
1188,23592402,0
1188,26213780,0
1188,28835158,0
1188,31456536,0
1188,34077914,0
1188,36699292,49578
1188,39320670,29176
1188,41942048,0
1188,44563426,0
1188,47184804,0
1188,49806182,0
1188,52427560,0
1189,2621378,0
1189,5242756,724
1189,7864134,0
1189,10485512,0
1189,13106890,0
1189,15728268,0
1189,18349646,0
1189,20971024,0
1189,23592402,0
1189,26213780,0
1189,28835158,0
1189,31456536,0
1189,34077914,0
1189,36699292,51476
1189,39320670,30876
1189,41942048,0
1189,44563426,0
1189,47184804,0
1189,49806182,0
1189,52427560,0
1190,2621378,0
1190,5242756,735
1190,7864134,0
1190,10485512,0
1190,13106890,0
1190,15728268,0
1190,18349646,0
1190,20971024,0
1190,23592402,0
1190,26213780,0
1190,28835158,0
1190,31456536,0
1190,34077914,0
1190,36699292,51809
1190,39320670,31398
1190,41942048,0
1190,44563426,0
1190,47184804,0
1190,49806182,0
1190,52427560,0
1191,2621378,0
1191,5242756,3121
1191,7864134,0
1191,10485512,0
1191,13106890,0
1191,15728268,0
1191,18349646,0
1191,20971024,0
1191,23592402,0
1191,26213780,0
1191,28835158,0
1191,31456536,0
1191,34077914,0
1191,36699292,34965
1191,39320670,20793
1191,41942048,0
1191,44563426,0
1191,47184804,0
1191,49806182,0
1191,52427560,0
1192,2621378,0
1192,5242756,0
1192,7864134,0
1192,10485512,0
1192,13106890,0
1192,15728268,0
1192,18349646,0
1192,20971024,0
1192,23592402,0
1192,26213780,0
1192,28835158,0
1192,31456536,0
1192,34077914,0
1192,36699292,33915
1192,39320670,20168
1192,41942048,0
1192,44563426,0
1192,47184804,0
1192,49806182,0
1192,52427560,0
1193,2621378,0
1193,5242756,0
1193,7864134,0
1193,10485512,0
1193,13106890,0
1193,15728268,0
1193,18349646,0
1193,20971024,0
1193,23592402,0
1193,26213780,0
1193,28835158,0
1193,31456536,0
1193,34077914,0
1193,36699292,22906
1193,39320670,13929
1193,41942048,0
1193,44563426,0
1193,47184804,0
1193,49806182,0
1193,52427560,0
1194,2621378,0
1194,5242756,0
1194,7864134,0
1194,10485512,0
1194,13106890,0
1194,15728268,0
1194,18349646,0
1194,20971024,0
1194,23592402,0
1194,26213780,0
1194,28835158,0
1194,31456536,0
1194,34077914,0
1194,36699292,20898
1194,39320670,12805
1194,41942048,0
1194,44563426,0
1194,47184804,0
1194,49806182,0
1194,52427560,0
1195,2621378,0
1195,5242756,0
1195,7864134,0
1195,10485512,0
1195,13106890,0
1195,15728268,0
1195,18349646,0
1195,20971024,0
1195,23592402,0
1195,26213780,0
1195,28835158,0
1195,31456536,0
1195,34077914,0
1195,36699292,34194
1195,39320670,20455
1195,41942048,0
1195,44563426,0
1195,47184804,0
1195,49806182,0
1195,52427560,0
1196,2621378,25
1196,5242756,3
1196,7864134,0
1196,10485512,0
1196,13106890,0
1196,15728268,0
1196,18349646,0
1196,20971024,0
1196,23592402,0
1196,26213780,0
1196,28835158,0
1196,31456536,0
1196,34077914,0
1196,36699292,22771
1196,39320670,13484
1196,41942048,0
1196,44563426,0
1196,47184804,0
1196,49806182,0
1196,52427560,0
1197,2621378,0
1197,5242756,0
1197,7864134,0
1197,10485512,0
1197,13106890,0
1197,15728268,0
1197,18349646,0
1197,20971024,0
1197,23592402,0
1197,26213780,0
1197,28835158,0
1197,31456536,0
1197,34077914,0
1197,36699292,17322
1197,39320670,10389
1197,41942048,0
1197,44563426,0
1197,47184804,0
1197,49806182,0
1197,52427560,0
1198,2621378,0
1198,5242756,0
1198,7864134,0
1198,10485512,0
1198,13106890,0
1198,15728268,0
1198,18349646,0
1198,20971024,0
1198,23592402,0
1198,26213780,0
1198,28835158,0
1198,31456536,0
1198,34077914,0
1198,36699292,16605
1198,39320670,9876
1198,41942048,0
1198,44563426,0
1198,47184804,0
1198,49806182,0
1198,52427560,0
1199,2621378,0
1199,5242756,0
1199,7864134,0
1199,10485512,0
1199,13106890,0
1199,15728268,0
1199,18349646,0
1199,20971024,0
1199,23592402,0
1199,26213780,0
1199,28835158,0
1199,31456536,0
1199,34077914,0
1199,36699292,21042
1199,39320670,12773
1199,41942048,67
1199,44563426,0
1199,47184804,0
1199,49806182,0
1199,52427560,0
1200,2621378,0
1200,5242756,0
1200,7864134,0
1200,10485512,0
1200,13106890,0
1200,15728268,0
1200,18349646,0
1200,20971024,0
1200,23592402,0
1200,26213780,0
1200,28835158,0
1200,31456536,0
1200,34077914,0
1200,36699292,18756
1200,39320670,11291
1200,41942048,169
1200,44563426,0
1200,47184804,0
1200,49806182,0
1200,52427560,0
1201,2621378,0
1201,5242756,0
1201,7864134,0
1201,10485512,0
1201,13106890,0
1201,15728268,0
1201,18349646,0
1201,20971024,0
1201,23592402,0
1201,26213780,0
1201,28835158,0
1201,31456536,0
1201,34077914,0
1201,36699292,20860
1201,39320670,12384
1201,41942048,159
1201,44563426,0
1201,47184804,0
1201,49806182,0
1201,52427560,0
1202,2621378,0
1202,5242756,0
1202,7864134,0
1202,10485512,0
1202,13106890,0
1202,15728268,0
1202,18349646,0
1202,20971024,0
1202,23592402,0
1202,26213780,0
1202,28835158,0
1202,31456536,0
1202,34077914,0
1202,36699292,22182
1202,39320670,13071
1202,41942048,152
1202,44563426,0
1202,47184804,0
1202,49806182,0
1202,52427560,0
1203,2621378,1
1203,5242756,0
1203,7864134,0
1203,10485512,0
1203,13106890,0
1203,15728268,0
1203,18349646,0
1203,20971024,0
1203,23592402,0
1203,26213780,0
1203,28835158,0
1203,31456536,0
1203,34077914,0
1203,36699292,17121
1203,39320670,10147
1203,41942048,177
1203,44563426,0
1203,47184804,0
1203,49806182,0
1203,52427560,0
1204,2621378,0
1204,5242756,0
1204,7864134,0
1204,10485512,0
1204,13106890,0
1204,15728268,0
1204,18349646,0
1204,20971024,0
1204,23592402,0
1204,26213780,0
1204,28835158,0
1204,31456536,0
1204,34077914,0
1204,36699292,1971
1204,39320670,1257
1204,41942048,174
1204,44563426,0
1204,47184804,0
1204,49806182,0
1204,52427560,0
1205,2621378,0
1205,5242756,0
1205,7864134,0
1205,10485512,0
1205,13106890,0
1205,15728268,0
1205,18349646,0
1205,20971024,0
1205,23592402,0
1205,26213780,0
1205,28835158,0
1205,31456536,0
1205,34077914,0
1205,36699292,0
1205,39320670,0
1205,41942048,160
1205,44563426,33
1205,47184804,0
1205,49806182,0
1205,52427560,0
1206,2621378,1
1206,5242756,0
1206,7864134,0
1206,10485512,0
1206,13106890,0
1206,15728268,0
1206,18349646,0
1206,20971024,0
1206,23592402,0
1206,26213780,0
1206,28835158,0
1206,31456536,0
1206,34077914,0
1206,36699292,0
1206,39320670,0
1206,41942048,0
1206,44563426,146
1206,47184804,0
1206,49806182,0
1206,52427560,0
1207,2621378,0
1207,5242756,0
1207,7864134,0
1207,10485512,0
1207,13106890,0
1207,15728268,0
1207,18349646,0
1207,20971024,0
1207,23592402,0
1207,26213780,0
1207,28835158,0
1207,31456536,0
1207,34077914,0
1207,36699292,0
1207,39320670,0
1207,41942048,0
1207,44563426,179
1207,47184804,0
1207,49806182,0
1207,52427560,0
1208,2621378,0
1208,5242756,0
1208,7864134,0
1208,10485512,0
1208,13106890,0
1208,15728268,0
1208,18349646,0
1208,20971024,0
1208,23592402,0
1208,26213780,0
1208,28835158,0
1208,31456536,0
1208,34077914,0
1208,36699292,0
1208,39320670,0
1208,41942048,0
1208,44563426,165
1208,47184804,0
1208,49806182,0
1208,52427560,0
1209,2621378,1
1209,5242756,0
1209,7864134,0
1209,10485512,0
1209,13106890,0
1209,15728268,0
1209,18349646,0
1209,20971024,0
1209,23592402,0
1209,26213780,0
1209,28835158,0
1209,31456536,0
1209,34077914,0
1209,36699292,0
1209,39320670,0
1209,41942048,0
1209,44563426,148
1209,47184804,0
1209,49806182,0
1209,52427560,0
1210,2621378,0
1210,5242756,0
1210,7864134,0
1210,10485512,0
1210,13106890,0
1210,15728268,0
1210,18349646,0
1210,20971024,0
1210,23592402,0
1210,26213780,0
1210,28835158,0
1210,31456536,0
1210,34077914,0
1210,36699292,0
1210,39320670,0
1210,41942048,0
1210,44563426,184
1210,47184804,0
1210,49806182,0
1210,52427560,0
