time,latency(us),0
1077,24095.5,0
1077,28914.6,0
1077,33733.7,0
1077,38552.8,0
1077,43371.9,0
1077,48191,0
1077,53010.1,0
1077,57829.2,0
1077,62648.3,0
1077,67467.4,0
1077,72286.5,0
1077,77105.6,0
1077,81924.7,0
1077,86743.8,0
1077,91562.9,0
1077,96382,0
1078,4819.1,25424
1078,9638.2,759
1078,14457.3,35
1078,19276.4,3
1078,24095.5,0
1078,28914.6,0
1078,33733.7,0
1078,38552.8,0
1078,43371.9,0
1078,48191,0
1078,53010.1,0
1078,57829.2,0
1078,62648.3,0
1078,67467.4,0
1078,72286.5,0
1078,77105.6,0
1078,81924.7,0
1078,86743.8,0
1078,91562.9,0
1078,96382,0
1079,4819.1,23104
1079,9638.2,857
1079,14457.3,41
1079,19276.4,0
1079,24095.5,0
1079,28914.6,0
1079,33733.7,0
1079,38552.8,0
1079,43371.9,0
1079,48191,0
1079,53010.1,0
1079,57829.2,0
1079,62648.3,0
1079,67467.4,0
1079,72286.5,0
1079,77105.6,0
1079,81924.7,0
1079,86743.8,0
1079,91562.9,0
1079,96382,0
1080,4819.1,21082
1080,9638.2,881
1080,14457.3,141
1080,19276.4,14
1080,24095.5,0
1080,28914.6,0
1080,33733.7,0
1080,38552.8,0
1080,43371.9,0
1080,48191,0
1080,53010.1,0
1080,57829.2,0
1080,62648.3,0
1080,67467.4,0
1080,72286.5,0
1080,77105.6,0
1080,81924.7,0
1080,86743.8,0
1080,91562.9,0
1080,96382,0
1081,4819.1,21792
1081,9638.2,1088
1081,14457.3,241
1081,19276.4,26
1081,24095.5,0
1081,28914.6,0
1081,33733.7,0
1081,38552.8,0
1081,43371.9,0
1081,48191,0
1081,53010.1,0
1081,57829.2,0
1081,62648.3,0
1081,67467.4,0
1081,72286.5,0
1081,77105.6,0
1081,81924.7,0
1081,86743.8,0
1081,91562.9,0
1081,96382,0
1082,4819.1,13732
1082,9638.2,1630
1082,14457.3,290
1082,19276.4,55
1082,24095.5,2
1082,28914.6,0
1082,33733.7,0
1082,38552.8,0
1082,43371.9,0
1082,48191,0
1082,53010.1,0
1082,57829.2,0
1082,62648.3,0
1082,67467.4,0
1082,72286.5,0
1082,77105.6,0
1082,81924.7,0
1082,86743.8,0
1082,91562.9,0
1082,96382,0
1083,4819.1,14043
1083,9638.2,1588
1083,14457.3,239
1083,19276.4,60
1083,24095.5,22
1083,28914.6,4
1083,33733.7,6
1083,38552.8,0
1083,43371.9,0
1083,48191,0
1083,53010.1,0
1083,57829.2,0
1083,62648.3,0
1083,67467.4,0
1083,72286.5,0
1083,77105.6,0
1083,81924.7,0
1083,86743.8,0
1083,91562.9,0
1083,96382,0
1084,4819.1,14168
1084,9638.2,1510
1084,14457.3,281
1084,19276.4,29
1084,24095.5,0
1084,28914.6,0
1084,33733.7,0
1084,38552.8,0
1084,43371.9,0
1084,48191,0
1084,53010.1,0
1084,57829.2,0
1084,62648.3,0
1084,67467.4,0
1084,72286.5,0
1084,77105.6,0
1084,81924.7,0
1084,86743.8,0
1084,91562.9,0
1084,96382,0
1085,4819.1,17263
1085,9638.2,1616
1085,14457.3,129
1085,19276.4,5
1085,24095.5,0
1085,28914.6,0
1085,33733.7,0
1085,38552.8,0
1085,43371.9,0
1085,48191,0
1085,53010.1,0
1085,57829.2,0
1085,62648.3,0
1085,67467.4,0
1085,72286.5,0
1085,77105.6,0
1085,81924.7,0
1085,86743.8,0
1085,91562.9,0
1085,96382,0
1086,4819.1,28461
1086,9638.2,587
1086,14457.3,23
1086,19276.4,0
1086,24095.5,0
1086,28914.6,0
1086,33733.7,0
1086,38552.8,0
1086,43371.9,0
1086,48191,0
1086,53010.1,0
1086,57829.2,0
1086,62648.3,0
1086,67467.4,0
1086,72286.5,0
1086,77105.6,0
1086,81924.7,0
1086,86743.8,0
1086,91562.9,0
1086,96382,0
1087,4819.1,15360
1087,9638.2,50
1087,14457.3,0
1087,19276.4,0
1087,24095.5,0
1087,28914.6,0
1087,33733.7,0
1087,38552.8,0
1087,43371.9,0
1087,48191,0
1087,53010.1,0
1087,57829.2,0
1087,62648.3,0
1087,67467.4,0
1087,72286.5,0
1087,77105.6,0
1087,81924.7,0
1087,86743.8,0
1087,91562.9,0
1087,96382,0
1088,4819.1,15310
1088,9638.2,0
1088,14457.3,0
1088,19276.4,0
1088,24095.5,0
1088,28914.6,0
1088,33733.7,0
1088,38552.8,0
1088,43371.9,0
1088,48191,0
1088,53010.1,0
1088,57829.2,0
1088,62648.3,0
1088,67467.4,0
1088,72286.5,0
1088,77105.6,0
1088,81924.7,0
1088,86743.8,0
1088,91562.9,0
1088,96382,0
1089,4819.1,17826
1089,9638.2,0
1089,14457.3,0
1089,19276.4,0
1089,24095.5,0
1089,28914.6,0
1089,33733.7,0
1089,38552.8,0
1089,43371.9,0
1089,48191,0
1089,53010.1,0
1089,57829.2,0
1089,62648.3,0
1089,67467.4,0
1089,72286.5,0
1089,77105.6,0
1089,81924.7,0
1089,86743.8,0
1089,91562.9,0
1089,96382,0
1090,4819.1,17949
1090,9638.2,0
1090,14457.3,0
1090,19276.4,0
1090,24095.5,0
1090,28914.6,0
1090,33733.7,0
1090,38552.8,0
1090,43371.9,0
1090,48191,0
